,location,total_sqft,bath,price,bhk
75,5th Phase JP Nagar,1220.0,2.0,88.0,2
76,5th Phase JP Nagar,1000.0,2.0,48.0,2
77,5th Phase JP Nagar,1350.0,2.0,75.0,3
78,5th Phase JP Nagar,552.0,1.0,23.5,1
79,5th Phase JP Nagar,1200.0,2.0,51.0,2
83,5th Phase JP Nagar,1030.0,2.0,57.0,2
84,5th Phase JP Nagar,1200.0,2.0,68.0,2
85,5th Phase JP Nagar,1190.0,2.0,61.8,2
86,5th Phase JP Nagar,4000.0,5.0,170.0,5
87,5th Phase JP Nagar,1080.0,2.0,53.0,2
88,5th Phase JP Nagar,1041.0,2.0,54.0,2
89,5th Phase JP Nagar,812.0,2.0,42.0,2
90,5th Phase JP Nagar,1010.0,2.0,57.0,2
92,5th Phase JP Nagar,2500.0,8.0,95.0,7
93,5th Phase JP Nagar,1075.0,2.0,60.0,2
94,5th Phase JP Nagar,2400.0,4.0,228.0,4
95,6th Phase JP Nagar,1192.0,2.0,74.0,2
96,6th Phase JP Nagar,1180.0,2.0,80.0,2
97,6th Phase JP Nagar,3245.0,4.0,250.0,4
99,6th Phase JP Nagar,1280.0,2.0,56.0,2
100,6th Phase JP Nagar,1140.0,2.0,65.0,2
101,6th Phase JP Nagar,600.0,1.0,75.0,1
102,6th Phase JP Nagar,2040.0,3.0,200.0,3
103,6th Phase JP Nagar,1213.0,2.0,63.0,2
105,6th Phase JP Nagar,1170.0,2.0,120.0,2
106,6th Phase JP Nagar,1216.0,2.0,60.0,2
107,6th Phase JP Nagar,1460.0,2.0,80.0,2
108,6th Phase JP Nagar,2003.0,3.0,200.0,3
110,6th Phase JP Nagar,1810.0,3.0,131.0,3
111,6th Phase JP Nagar,750.0,1.0,105.0,1
112,6th Phase JP Nagar,1515.0,2.0,135.0,3
113,6th Phase JP Nagar,1192.0,2.0,75.0,2
114,6th Phase JP Nagar,1280.0,2.0,88.0,2
115,7th Phase JP Nagar,1000.0,2.0,38.0,2
116,7th Phase JP Nagar,1080.0,2.0,72.0,2
117,7th Phase JP Nagar,1270.0,2.0,93.0,2
118,7th Phase JP Nagar,1420.0,2.0,100.0,3
119,7th Phase JP Nagar,1850.0,3.0,150.0,3
120,7th Phase JP Nagar,1245.0,2.0,94.0,2
121,7th Phase JP Nagar,1175.0,2.0,82.0,2
122,7th Phase JP Nagar,1400.0,2.0,95.0,3
123,7th Phase JP Nagar,3600.0,4.0,400.0,4
124,7th Phase JP Nagar,2225.0,3.0,160.0,3
125,7th Phase JP Nagar,1050.0,2.0,71.0,2
126,7th Phase JP Nagar,1100.0,2.0,46.0,2
127,7th Phase JP Nagar,918.0,2.0,50.49,2
128,7th Phase JP Nagar,1450.0,2.0,100.0,3
129,7th Phase JP Nagar,1040.0,2.0,39.52,2
130,7th Phase JP Nagar,1070.0,2.0,42.79,2
131,7th Phase JP Nagar,1190.0,2.0,49.98,2
132,7th Phase JP Nagar,1500.0,3.0,170.0,3
133,7th Phase JP Nagar,1420.0,2.0,96.0,3
134,7th Phase JP Nagar,1680.0,3.0,120.0,3
135,7th Phase JP Nagar,1050.0,2.0,42.0,2
136,7th Phase JP Nagar,980.0,2.0,69.0,2
137,7th Phase JP Nagar,1035.0,2.0,41.39,2
138,7th Phase JP Nagar,1370.0,2.0,56.17,2
139,7th Phase JP Nagar,1180.0,2.0,72.0,2
140,7th Phase JP Nagar,5080.0,7.0,450.0,6
145,7th Phase JP Nagar,1400.0,3.0,115.0,3
146,7th Phase JP Nagar,1075.0,2.0,42.99,2
147,7th Phase JP Nagar,1100.0,2.0,44.0,2
148,7th Phase JP Nagar,1270.0,2.0,83.0,2
150,7th Phase JP Nagar,2503.0,4.0,188.0,4
151,7th Phase JP Nagar,2200.0,3.0,190.0,3
152,7th Phase JP Nagar,1035.0,2.0,39.33,2
154,7th Phase JP Nagar,1050.0,2.0,42.0,2
155,7th Phase JP Nagar,1500.0,5.0,220.0,4
157,7th Phase JP Nagar,1575.0,2.0,110.0,3
158,7th Phase JP Nagar,1850.0,3.0,140.0,3
161,7th Phase JP Nagar,3600.0,3.0,410.0,4
162,7th Phase JP Nagar,4800.0,7.0,170.0,7
164,7th Phase JP Nagar,1575.0,2.0,120.0,3
165,7th Phase JP Nagar,1850.0,3.0,150.0,3
166,7th Phase JP Nagar,1680.0,3.0,120.0,3
167,7th Phase JP Nagar,1212.0,3.0,42.0,2
168,7th Phase JP Nagar,1175.0,2.0,82.5,2
171,7th Phase JP Nagar,1215.0,2.0,90.0,2
172,7th Phase JP Nagar,1050.0,2.0,75.0,2
173,7th Phase JP Nagar,1300.0,3.0,89.13,3
174,7th Phase JP Nagar,1130.0,2.0,73.0,2
175,7th Phase JP Nagar,1450.0,3.0,100.0,3
177,7th Phase JP Nagar,1200.0,2.0,200.0,2
178,7th Phase JP Nagar,1050.0,2.0,50.0,2
179,7th Phase JP Nagar,1275.0,2.0,87.0,2
181,7th Phase JP Nagar,1650.0,3.0,110.0,3
182,7th Phase JP Nagar,850.0,2.0,42.0,2
183,7th Phase JP Nagar,1680.0,3.0,117.0,3
184,7th Phase JP Nagar,1850.0,3.0,150.0,3
185,7th Phase JP Nagar,1236.0,2.0,61.33,2
186,7th Phase JP Nagar,1000.0,2.0,53.0,2
187,7th Phase JP Nagar,1680.0,3.0,125.0,3
188,7th Phase JP Nagar,1675.0,2.0,135.0,3
189,7th Phase JP Nagar,1035.0,2.0,39.33,2
190,7th Phase JP Nagar,1187.0,2.0,59.0,2
191,7th Phase JP Nagar,1850.0,3.0,155.0,3
192,7th Phase JP Nagar,1000.0,2.0,61.0,2
193,7th Phase JP Nagar,1460.0,2.0,100.0,3
194,7th Phase JP Nagar,1650.0,3.0,110.0,3
195,7th Phase JP Nagar,1200.0,2.0,62.5,2
196,7th Phase JP Nagar,1000.0,2.0,70.65,2
197,7th Phase JP Nagar,1070.0,2.0,42.0,2
198,7th Phase JP Nagar,1080.0,2.0,75.0,2
199,7th Phase JP Nagar,2100.0,3.0,200.0,3
201,7th Phase JP Nagar,1680.0,3.0,125.0,3
202,7th Phase JP Nagar,1040.0,2.0,41.59,2
203,7th Phase JP Nagar,1800.0,6.0,270.0,5
204,7th Phase JP Nagar,1100.0,2.0,44.0,2
205,7th Phase JP Nagar,1460.0,2.0,97.0,3
206,7th Phase JP Nagar,1120.0,2.0,65.0,2
207,7th Phase JP Nagar,1100.0,3.0,60.0,2
208,7th Phase JP Nagar,1790.0,3.0,120.0,3
209,7th Phase JP Nagar,1680.0,3.0,117.0,3
210,7th Phase JP Nagar,1050.0,2.0,77.0,2
211,7th Phase JP Nagar,1174.0,2.0,47.0,2
212,7th Phase JP Nagar,1050.0,2.0,75.0,2
213,7th Phase JP Nagar,1040.0,2.0,75.0,2
214,7th Phase JP Nagar,1400.0,2.0,95.0,3
215,7th Phase JP Nagar,1800.0,3.0,130.0,3
216,7th Phase JP Nagar,1050.0,2.0,68.0,2
218,7th Phase JP Nagar,1000.0,2.0,60.0,2
219,7th Phase JP Nagar,1680.0,3.0,125.0,3
220,7th Phase JP Nagar,980.0,2.0,86.0,2
222,7th Phase JP Nagar,1050.0,2.0,77.47,2
223,7th Phase JP Nagar,1270.0,2.0,80.0,2
225,7th Phase JP Nagar,1680.0,3.0,122.0,3
226,7th Phase JP Nagar,500.0,1.0,70.0,1
227,7th Phase JP Nagar,1070.0,2.0,42.79,2
228,7th Phase JP Nagar,1130.0,2.0,85.0,2
229,7th Phase JP Nagar,1680.0,3.0,130.0,3
232,7th Phase JP Nagar,2980.0,4.0,260.0,3
233,7th Phase JP Nagar,980.0,2.0,77.44,2
234,7th Phase JP Nagar,1680.0,3.0,112.0,3
236,7th Phase JP Nagar,2095.0,3.0,150.0,3
238,7th Phase JP Nagar,3200.0,4.0,350.0,4
239,7th Phase JP Nagar,1976.0,3.0,145.0,3
240,7th Phase JP Nagar,1600.0,2.0,110.0,3
241,7th Phase JP Nagar,1765.0,3.0,118.0,3
242,7th Phase JP Nagar,1275.0,2.0,88.0,3
243,7th Phase JP Nagar,1450.0,2.0,102.0,3
244,7th Phase JP Nagar,1035.0,2.0,39.33,2
245,7th Phase JP Nagar,1575.0,2.0,110.0,3
246,7th Phase JP Nagar,2100.0,3.0,200.0,3
248,7th Phase JP Nagar,750.0,1.0,47.0,1
249,7th Phase JP Nagar,1050.0,2.0,42.0,2
250,7th Phase JP Nagar,990.0,2.0,50.0,2
251,7th Phase JP Nagar,1000.0,1.0,60.0,1
253,7th Phase JP Nagar,1100.0,2.0,44.0,2
254,7th Phase JP Nagar,1430.0,2.0,102.0,3
255,7th Phase JP Nagar,1128.0,2.0,60.0,2
256,7th Phase JP Nagar,2100.0,3.0,190.0,3
257,7th Phase JP Nagar,1140.0,2.0,57.0,2
258,7th Phase JP Nagar,1420.0,3.0,90.0,3
259,7th Phase JP Nagar,1530.0,2.0,108.0,2
260,8th Phase JP Nagar,1073.5,2.0,54.005,2
261,8th Phase JP Nagar,451.0,1.0,29.9,1
263,8th Phase JP Nagar,1062.0,2.0,42.47,2
264,8th Phase JP Nagar,1200.0,4.0,145.0,4
266,8th Phase JP Nagar,1455.0,3.0,73.31,3
267,8th Phase JP Nagar,871.0,2.0,55.0,2
268,8th Phase JP Nagar,1098.0,2.0,43.91,2
269,8th Phase JP Nagar,1800.0,3.0,80.0,3
271,8th Phase JP Nagar,1080.0,2.0,38.0,2
272,8th Phase JP Nagar,1059.0,2.0,34.5,2
273,8th Phase JP Nagar,1080.0,2.0,35.0,2
275,8th Phase JP Nagar,1062.0,2.0,42.47,2
276,8th Phase JP Nagar,500.0,1.0,31.0,1
277,8th Phase JP Nagar,1100.0,2.0,35.0,2
278,8th Phase JP Nagar,950.0,3.0,130.0,3
280,8th Phase JP Nagar,1035.0,2.0,39.33,2
281,8th Phase JP Nagar,909.0,2.0,40.9,2
282,8th Phase JP Nagar,1431.5,3.0,72.02,3
283,8th Phase JP Nagar,1900.0,4.0,90.0,3
284,8th Phase JP Nagar,1200.0,4.0,140.0,4
285,8th Phase JP Nagar,500.0,1.0,30.0,1
286,8th Phase JP Nagar,1125.0,2.0,36.94,2
287,8th Phase JP Nagar,1200.0,3.0,110.0,4
288,8th Phase JP Nagar,1100.0,2.0,35.0,2
289,8th Phase JP Nagar,1089.0,2.0,43.55,2
291,8th Phase JP Nagar,1504.0,2.0,83.0,3
294,8th Phase JP Nagar,1089.0,2.0,43.55,2
295,8th Phase JP Nagar,1800.0,4.0,230.0,4
297,8th Phase JP Nagar,1513.0,2.0,62.0,2
298,8th Phase JP Nagar,1298.0,2.0,59.0,2
299,8th Phase JP Nagar,1006.0,2.0,44.0,2
300,8th Phase JP Nagar,500.0,1.0,33.0,1
301,8th Phase JP Nagar,1160.0,2.0,95.0,2
302,8th Phase JP Nagar,1245.0,2.0,59.0,2
303,8th Phase JP Nagar,1510.0,2.0,80.0,2
304,8th Phase JP Nagar,3300.0,3.0,165.0,3
305,8th Phase JP Nagar,1200.0,4.0,270.0,4
309,8th Phase JP Nagar,1046.0,2.0,48.0,2
311,8th Phase JP Nagar,1408.0,3.0,80.0,3
313,9th Phase JP Nagar,1005.0,2.0,50.0,2
315,9th Phase JP Nagar,1100.0,2.0,65.0,2
316,9th Phase JP Nagar,1080.0,2.0,37.0,2
317,9th Phase JP Nagar,1035.0,2.0,45.0,2
318,9th Phase JP Nagar,5000.0,4.0,290.0,4
319,9th Phase JP Nagar,1164.0,2.0,56.0,2
320,9th Phase JP Nagar,1005.0,2.0,42.0,2
321,9th Phase JP Nagar,1200.0,3.0,188.0,4
322,9th Phase JP Nagar,3500.0,4.0,300.0,4
323,9th Phase JP Nagar,1127.0,2.0,50.0,2
324,9th Phase JP Nagar,1005.0,2.0,43.0,2
325,9th Phase JP Nagar,835.0,2.0,37.0,2
326,9th Phase JP Nagar,1050.0,2.0,39.0,2
327,9th Phase JP Nagar,660.0,2.0,27.0,2
328,9th Phase JP Nagar,600.0,1.0,20.0,1
329,9th Phase JP Nagar,1466.0,2.0,71.0,2
330,9th Phase JP Nagar,1890.0,2.0,93.0,3
331,9th Phase JP Nagar,1079.0,2.0,60.0,2
332,9th Phase JP Nagar,1480.0,2.0,80.0,2
333,9th Phase JP Nagar,1200.0,2.0,80.0,2
334,9th Phase JP Nagar,905.0,2.0,32.0,2
335,9th Phase JP Nagar,1073.0,2.0,52.36,2
336,9th Phase JP Nagar,1719.3,2.0,88.0,3
337,9th Phase JP Nagar,1780.0,3.0,88.0,3
339,9th Phase JP Nagar,1522.0,3.0,90.0,3
342,9th Phase JP Nagar,890.0,2.0,45.0,2
344,9th Phase JP Nagar,5000.0,4.0,300.0,4
346,9th Phase JP Nagar,1050.0,2.0,35.0,2
347,9th Phase JP Nagar,1331.95,2.0,69.0,2
348,AECS Layout,1100.0,2.0,45.0,2
349,AECS Layout,1620.0,3.0,98.0,3
350,AECS Layout,1028.0,2.0,42.0,2
351,AECS Layout,1199.0,2.0,65.0,2
352,AECS Layout,1080.0,2.0,55.0,2
354,AECS Layout,1045.0,2.0,36.58,2
355,AECS Layout,1123.0,2.0,64.0,2
356,AECS Layout,1308.0,2.0,60.0,2
357,AECS Layout,1135.0,2.0,68.0,2
358,AECS Layout,1005.0,2.0,55.0,2
360,Abbigere,985.0,2.0,40.39,2
361,Abbigere,2200.0,6.0,68.0,6
362,Abbigere,765.0,2.0,30.0,1
363,Abbigere,880.0,2.0,35.0,2
364,Abbigere,795.0,2.0,32.54,2
365,Abbigere,1005.0,2.0,39.59,2
366,Abbigere,734.0,1.0,19.82,1
368,Abbigere,1020.0,2.0,41.82,2
369,Abbigere,1200.0,3.0,120.0,4
372,Abbigere,985.0,2.0,40.39,2
373,Abbigere,2500.0,6.0,81.0,6
374,Abbigere,795.0,2.0,32.54,2
375,Abbigere,1130.0,2.0,46.33,2
376,Abbigere,795.0,1.0,32.6,2
377,Abbigere,3000.0,8.0,150.0,8
378,Abbigere,985.0,2.0,38.92,2
379,Abbigere,1000.0,2.0,41.0,2
380,Abbigere,995.0,2.0,40.8,2
381,Abbigere,1020.0,2.0,40.8,2
382,Akshaya Nagar,2061.0,3.0,200.0,3
383,Akshaya Nagar,1388.0,2.0,57.0,2
384,Akshaya Nagar,1070.0,2.0,54.0,2
386,Akshaya Nagar,1280.0,2.0,58.0,2
387,Akshaya Nagar,1662.0,3.0,85.1,3
388,Akshaya Nagar,1897.0,3.0,120.0,3
389,Akshaya Nagar,1410.0,2.0,75.0,3
390,Akshaya Nagar,1360.0,2.0,85.0,3
391,Akshaya Nagar,1476.0,3.0,120.0,3
393,Akshaya Nagar,1720.0,3.0,134.0,3
394,Akshaya Nagar,1410.0,2.0,80.0,3
395,Akshaya Nagar,1662.0,3.0,85.0,3
396,Akshaya Nagar,1662.0,3.0,85.5,3
397,Akshaya Nagar,1280.0,2.0,60.0,2
398,Akshaya Nagar,1666.0,3.0,95.0,3
399,Akshaya Nagar,1410.0,4.0,160.0,4
400,Akshaya Nagar,1575.0,3.0,90.0,3
401,Akshaya Nagar,1430.0,2.0,75.0,3
402,Akshaya Nagar,1419.0,2.0,73.0,3
403,Akshaya Nagar,1280.0,2.0,60.0,2
404,Akshaya Nagar,1200.0,2.0,50.0,2
405,Akshaya Nagar,1092.0,2.0,60.0,2
406,Akshaya Nagar,1690.0,3.0,85.0,3
407,Akshaya Nagar,1700.0,3.0,80.0,3
408,Akshaya Nagar,1897.0,4.0,93.0,3
409,Akshaya Nagar,1884.0,3.0,98.0,3
410,Akshaya Nagar,2061.0,3.0,175.0,3
412,Akshaya Nagar,1314.0,2.0,68.8,2
413,Akshaya Nagar,1690.0,3.0,85.0,3
414,Akshaya Nagar,1265.0,2.0,67.0,2
415,Akshaya Nagar,1126.0,2.0,55.0,2
417,Akshaya Nagar,1662.0,3.0,90.0,3
418,Akshaya Nagar,1420.0,2.0,75.0,3
420,Akshaya Nagar,1412.0,2.0,88.0,3
421,Akshaya Nagar,1434.0,3.0,84.0,3
422,Akshaya Nagar,1890.0,4.0,100.0,3
423,Akshaya Nagar,2650.0,3.0,125.0,3
424,Akshaya Nagar,1419.0,2.0,87.0,3
425,Akshaya Nagar,1300.0,2.0,54.0,2
426,Akshaya Nagar,1690.0,3.0,85.0,3
427,Akshaya Nagar,1000.0,2.0,38.0,2
428,Akshaya Nagar,1113.0,2.0,52.0,2
429,Akshaya Nagar,1820.0,4.0,95.0,3
430,Akshaya Nagar,2061.0,4.0,175.0,3
431,Akshaya Nagar,2000.0,1.0,200.0,1
432,Akshaya Nagar,1100.0,2.0,48.0,2
433,Akshaya Nagar,1896.0,3.0,102.0,3
434,Akshaya Nagar,1300.0,2.0,66.0,2
435,Akshaya Nagar,1225.0,2.0,68.0,2
436,Akshaya Nagar,1179.0,2.0,51.0,2
437,Akshaya Nagar,1421.0,2.0,73.0,3
438,Akshaya Nagar,1200.0,2.0,45.0,2
439,Akshaya Nagar,1893.0,4.0,95.0,3
440,Akshaya Nagar,900.0,2.0,45.0,2
441,Akshaya Nagar,1200.0,4.0,125.0,4
442,Ambalipura,1105.0,2.0,75.0,2
443,Ambalipura,1800.0,3.0,110.0,3
444,Ambalipura,1390.0,2.0,175.0,3
445,Ambalipura,1150.0,2.0,80.0,2
446,Ambalipura,1250.0,2.0,66.25,2
447,Ambalipura,1332.0,2.0,79.0,2
448,Ambalipura,1730.0,3.0,120.0,3
449,Ambalipura,896.0,2.0,30.13,2
450,Ambalipura,3500.0,3.0,198.0,3
451,Ambalipura,1230.0,2.0,66.25,2
452,Ambalipura,1351.0,2.0,77.0,2
454,Ambalipura,3300.0,4.0,329.0,4
455,Ambalipura,950.0,2.0,31.95,2
456,Ambalipura,1625.0,2.0,145.0,3
457,Ambalipura,1817.0,3.0,102.0,3
459,Ambalipura,1303.0,2.0,80.0,2
460,Ambalipura,1607.0,2.0,112.0,3
461,Ambalipura,770.0,1.0,43.82,1
462,Ambalipura,860.0,2.0,28.93,2
463,Ambalipura,1700.0,2.0,76.0,2
464,Ambalipura,1060.0,2.0,58.5,2
465,Ambalipura,1650.0,3.0,100.0,3
466,Ambalipura,1607.0,2.0,112.0,3
467,Ambalipura,1198.0,2.0,80.0,2
468,Ambalipura,1615.0,2.0,150.0,3
469,Ambedkar Nagar,2900.0,3.0,300.0,4
470,Ambedkar Nagar,1935.0,4.0,130.0,3
471,Ambedkar Nagar,1424.0,2.0,90.0,2
472,Ambedkar Nagar,2225.0,4.0,169.0,3
473,Ambedkar Nagar,1862.0,3.0,120.0,3
474,Ambedkar Nagar,1850.0,4.0,139.0,3
475,Ambedkar Nagar,1936.0,4.0,126.0,3
476,Ambedkar Nagar,1862.0,3.0,119.0,3
477,Ambedkar Nagar,5530.0,5.0,627.0,5
478,Ambedkar Nagar,1424.0,2.0,90.0,2
479,Ambedkar Nagar,2150.0,4.0,125.0,3
480,Ambedkar Nagar,3530.0,4.0,290.0,4
481,Ambedkar Nagar,1856.0,3.0,120.0,3
482,Ambedkar Nagar,1852.0,3.0,130.0,3
483,Ambedkar Nagar,1850.0,4.0,120.0,3
484,Ambedkar Nagar,1367.0,2.0,86.0,2
485,Ambedkar Nagar,3565.0,4.0,255.0,4
486,Ambedkar Nagar,1409.0,2.0,95.0,2
487,Ambedkar Nagar,1950.0,4.0,120.0,3
488,Ambedkar Nagar,1921.0,4.0,129.0,3
489,Ambedkar Nagar,1920.0,4.0,121.0,3
490,Ambedkar Nagar,5000.0,4.0,536.0,4
491,Ambedkar Nagar,1935.0,4.0,125.0,3
492,Ambedkar Nagar,1852.0,4.0,122.0,3
493,Ambedkar Nagar,1950.0,4.0,120.0,3
494,Ambedkar Nagar,3500.0,4.0,550.0,4
495,Ambedkar Nagar,1852.0,3.0,125.0,3
496,Ambedkar Nagar,2900.0,3.0,297.0,3
497,Ambedkar Nagar,1850.0,4.0,121.0,3
498,Ambedkar Nagar,1425.0,2.0,94.0,2
499,Ambedkar Nagar,2395.0,4.0,150.0,3
500,Amruthahalli,900.0,2.0,40.0,2
501,Amruthahalli,1200.0,2.0,55.0,2
502,Amruthahalli,4400.0,3.0,475.0,2
503,Amruthahalli,1900.0,3.0,135.0,3
504,Amruthahalli,924.0,2.0,45.0,2
505,Amruthahalli,900.0,2.0,60.0,2
506,Amruthahalli,1100.0,2.0,45.0,2
507,Amruthahalli,1200.0,2.0,55.0,2
509,Amruthahalli,1200.0,5.0,200.0,3
512,Amruthahalli,1450.0,2.0,85.0,3
513,Amruthahalli,1200.0,2.0,55.0,2
514,Amruthahalli,1250.0,2.0,79.0,2
515,Amruthahalli,1190.0,2.0,50.0,2
516,Amruthahalli,1202.0,2.0,65.0,2
517,Amruthahalli,1340.0,2.0,75.0,2
518,Amruthahalli,2650.0,4.0,175.0,3
519,Amruthahalli,1450.0,2.0,90.0,3
520,Amruthahalli,1025.0,2.0,42.0,2
521,Amruthahalli,485.0,1.0,19.5,1
522,Amruthahalli,600.0,1.0,55.0,1
523,Anandapura,1167.0,2.0,43.76,2
524,Anandapura,1000.0,2.0,55.0,2
525,Anandapura,1141.0,2.0,42.79,2
526,Anandapura,900.0,2.0,64.0,2
527,Anandapura,1475.0,2.0,50.0,4
529,Anandapura,1200.0,2.0,67.0,2
530,Anandapura,1200.0,2.0,58.0,2
531,Anandapura,1151.0,2.0,43.1,2
532,Anandapura,1141.0,2.0,42.75,2
533,Anandapura,900.0,2.0,48.0,2
534,Anandapura,1749.0,4.0,90.0,4
535,Anandapura,1151.0,2.0,42.9,2
537,Anandapura,1250.0,2.0,45.0,2
538,Anandapura,875.0,2.0,57.0,2
539,Anandapura,1151.0,2.0,43.16,2
540,Anandapura,1200.0,2.0,58.0,2
541,Anandapura,616.0,3.0,45.0,2
542,Anandapura,1200.0,2.0,66.0,3
543,Anandapura,1415.0,2.0,74.0,3
544,Anandapura,1200.0,2.0,50.0,2
545,Anandapura,1141.0,2.0,50.0,2
547,Ananth Nagar,500.0,1.0,14.0,1
548,Ananth Nagar,1100.0,2.0,31.5,2
549,Ananth Nagar,982.0,2.0,24.55,2
550,Ananth Nagar,500.0,2.0,14.0,1
551,Ananth Nagar,1109.0,2.0,60.0,2
552,Ananth Nagar,1200.0,2.0,65.0,3
553,Ananth Nagar,900.0,2.0,22.5,2
554,Ananth Nagar,908.0,2.0,26.0,2
555,Ananth Nagar,870.0,2.0,36.0,2
556,Ananth Nagar,937.0,2.0,35.0,2
557,Ananth Nagar,1200.0,3.0,87.0,4
558,Ananth Nagar,960.0,2.0,37.0,2
559,Ananth Nagar,500.0,1.0,14.0,1
560,Ananth Nagar,1000.0,2.0,29.7,2
561,Ananth Nagar,850.0,2.0,25.99,2
562,Ananth Nagar,902.0,2.0,25.26,2
563,Ananth Nagar,1470.0,3.0,54.0,3
564,Ananth Nagar,810.0,2.0,25.5,2
565,Ananth Nagar,890.0,2.0,27.0,2
566,Ananth Nagar,1200.0,2.0,36.0,2
568,Ananth Nagar,1319.0,3.0,42.0,3
569,Ananth Nagar,1000.0,2.0,25.0,2
570,Ananth Nagar,902.0,2.0,25.0,2
571,Ananth Nagar,930.0,2.0,25.99,2
572,Ananth Nagar,1074.0,2.0,26.85,2
573,Ananth Nagar,500.0,1.0,14.0,1
574,Ananth Nagar,1010.0,2.0,38.0,2
575,Ananth Nagar,992.0,2.0,24.8,2
577,Anekal,656.0,2.0,22.0,2
578,Anekal,620.0,2.0,22.0,2
579,Anekal,600.0,1.0,16.5,1
580,Anekal,925.0,2.0,40.0,2
581,Anekal,530.0,1.0,18.0,1
582,Anekal,1800.0,3.0,68.0,3
584,Anekal,351.0,1.0,16.0,1
585,Anekal,1035.0,2.0,38.3,2
586,Anekal,888.0,2.0,34.0,2
590,Anekal,997.0,3.0,55.0,3
